location_id,display_name,url,cover_image,reviews_count,tags_desc,address,review_rating,feature_reviews
1,黄花城长城,https://www.tripadvisor.cn/Attraction_Review-g294212-d549631-Reviews-Great_Wall_at_Huanghuacheng-Beijing.html,https://dimg04.c-ctrip.com/images/02Y2o12000ajt61f2D5C8_R_1080_808_Q90.jpg,1192,景点与地标,102209 中国 北京市 北郊约60公里处,4.5,"['长城的其他地方我都去过；他们有更多的游客，而且看起来比这个部分更适合旅游。\n这几乎感觉就像长城之光。\n从北京市中心乘私家车到达此路段需要1.5小时，（周日早上7:30 – 9:05）我们花了大约1.5-2小时探索、漫步墙、拍照然后返回车穿过小村庄。买了饮料、水果和一些当地小吃就回城了。\n有水上活动和其他事情发生，但我的朋友们只是想体验一下看到墙壁并在上面行走。它是完美的。\n与我去过的其他部分相比，我更喜欢这部分墙。\n', '  不，如果你愿意的话，你会在某个时候感到疲倦。永远不要在一些休息点停下来，我告诉你，爬这么长的墙很难', '把车停在P3停车场，超级方便，就在景区东门门口，进入景区，景区景色超级好，印象最深的是古栗树，板栗园中有一百多株古栗树，是明朝守城将士所栽种，距今已有800多年的历史，特别是栗树王，让我感受到了古树的沧桑和顽强的生命力。询问工作人员得知，板栗园中的板栗是原生板栗，未经嫁接，营养丰富，口感香甜糯软，是栗中珍品。听说板栗文化节就要开始了，有机会一定去体验一下！！！']"
2,拉萨大昭寺,https://www.tripadvisor.cn/Attraction_Review-g294223-d325691-Reviews-Jokhang_Temple-Lhasa_Tibet.html,https://dimg04.c-ctrip.com/images/02Y6m120009f18rut7925_R_1080_808_Q90.jpg,1230,圣地与宗教景点,850000 西藏自治区 拉萨市 城关区八角街,4.5,"['大昭寺的外观照片，通常被认为是最神圣和最重要的寺庙。里面不允许拍照。寺内供奉着唐代文成公主和尼泊尔公主比利古提赠给松赞干布的释迦牟尼佛像作为嫁妆。', '【大昭寺】\n大昭寺藏語為“覺康”，（藏語意為佛殿）是藏傳佛教信徒朝聖的終點，大昭寺之神聖，並不遜於布達拉宮。松贊干布和文成公主率部遷徙到拉薩后，首先建造的就是大昭寺。人們常說“先有大昭寺，後有拉薩城”。大昭寺已有1300多年的歷史，在藏傳佛教中擁有至高無上的地位。也是西藏現存最輝煌的吐蕃時期的建築。大昭寺融合了藏、唐、尼泊爾、印度的建築風格，成為藏式宗教建築的千古典範。\n交通：\n乘9、10、11環線、12、15、17、18、19路等公交車在市婦幼保健院站下車可達；乘23、25、28、29路等公交車在措美林站下車可達；\n或從八廓街步行可達\n門票\n普通票:85人民幣 \ntips:\n大殿內攝影許可90元/張(有些殿內禁止拍攝)；講解50元/次。\n開放時間：\n09:00-18:00,08:00-11:30(信徒開放時間)\n11:30-17:30(遊客開放時間) \n不用預約，可以直接購票進入，門口有很多導遊在拼團。', '【大昭寺】\n大昭寺藏语为“觉康”，（藏语意为佛殿）是藏传佛教信徒朝圣的终点，大昭寺之神圣，并不逊于布达拉宫。松赞干布和文成公主率部迁徙到拉萨后，首先建造的就是大昭寺。人们常说“先有大昭寺，后有拉萨城”。大昭寺已有1300多年的历史，在藏传佛教中拥有至高无上的地位。也是西藏现存最辉煌的吐蕃时期的建筑。大昭寺融合了藏、唐、尼泊尔、印度的建筑风格，成为藏式宗教建筑的千古典范。\n交通：\n乘9、10、11环线、12、15、17、18、19路等公交车在市妇幼保健院站下车可达；乘23、25、28、29路等公交车在措美林站下车可达；\n或从八廓街步行可达\n门票\n普通票:85人民币 \ntips:\n大殿内摄影许可90元/张(有些殿内禁止拍摄)；讲解50元/次。\n开放时间：\n09:00-18:00,08:00-11:30(信徒开放时间)\n11:30-17:30(游客开放时间) \n不用预约，可以直接购票进入，门口有很多导游在拼团。']"
3,八角街,https://www.tripadvisor.cn/Attraction_Review-g294223-d325684-Reviews-Barkhor_Street-Lhasa_Tibet.html,https://dimg04.c-ctrip.com/images/02Y0o120009f3g0h9E409_R_1080_808_Q90.jpg,626,"景点与地标,古迹徒步",851500 西藏自治区 拉萨市 城关区,4.5,"['很有宗教氛围，去的时候天气很好，转经的人很多，有很多特色的卖旅游纪念品的小店，巷道里有很多家庭旅馆类的，大昭寺广场旁边有德克士，藏医院路有一家叫光明甜茶馆的很有名，但里面卫生较差', '这是位于大昭寺周围的一条老街。 这里到处都是商店，主要是为游客出售着纪念品的。 这是一条相当有趣的街道，游人是可以按顺时针方向逛一逛的。 另外这边也是有着非常严密的安保措施的。']"
4,亚龙湾,https://www.tripadvisor.cn/Attraction_Review-g297427-d568534-Reviews-Yalong_Bay-Sanya_Hainan.html,https://dimg04.c-ctrip.com/images/02Y5e120009f1c5yf759F_R_1080_808_Q90.jpg,1646,"水域,海滩与泳池俱乐部,海滩",572011 海南省 三亚市 田独镇六盘路附近,4.5,"['海滩很宽，人不多。如果说有什么地方可以享受大海和阳光，那就只有这里了！酒店价格昂贵（', '这是一个非常美丽的海滩，沙滩柔软干净，维护得很好。水也很干净，但在冬天会很冷。除了将脚浸入水中之外，很少有冒险经历。淡季不贵。', '17年前，我在豪华酒店还没开工的情况下游览了亚龙湾。那时，沙滩是洁白细腻的，海底是多样的，不负天下第一湾的美誉。这次带着心中美好的记忆再访，发现沙滩粗黄，海底贫瘠，反倒是沿途公路、农田和湖泊赏心悦目。“天下第一湾”的名号已名不符实。更好笑的是，如果花2000大洋住进任意一家奢华酒店，会发现不仅没有私人海滩，甚至连公共海滩也没了——全部被围起来了。\n亚龙湾，这个地理位置封闭的景点，随着三亚旅游重心东移，最终也没落了。诚然，这里的海水依然绝冠各湾，但与跋山涉水应得的回报不符。\n我见证了旅游对它的破坏，也结束了自己的一段念想。']"
5,古北水镇,https://www.tripadvisor.cn/Attraction_Review-g294212-d6280798-Reviews-Gubei_Water_Town-Beijing.html,https://dimg04.c-ctrip.com/images/02Y1n120008owablq9B94_R_1080_808_Q90.jpg,331,古迹徒步,中国 北京市 密云区司马台长城脚下,4.5,"['令人惊叹的小镇，到处都是溪流、美丽的花朵、可爱的商店和美味的食物。我喜欢挂在房子门上的花朵和陶瓷细节。景色很美。', '这是从北京出发的一个很棒的长周末假期。不到一个小时的车程。我在圣诞节期间和一群朋友一起去了这里。我们玩得很开心！走在路上就像穿越到几百年前。它是如此甜蜜和美丽。该地区还有温泉、按摩、滑冰和通往长城的便捷交通。古北长城是唯一夜间开放的长城。是上墙的好时机。我强烈推荐这里作为离开北京的短暂假期。', '在一个有趣的小镇、2 个表演、水上建筑表演和灯笼无人机表演中短暂休息。温泉很棒，酒店也很多，推荐御舍（日式房内含早餐）。']"
6,TUNTHEIN MR,https://www.tripadvisor.cn/Attraction_Review-g294220-d541911-Reviews-XuanWu_Park-Nanjing_Jiangsu.html,https://dimg04.c-ctrip.com/images/02Y2912000akkxek0B1DC_R_1080_808_Q90.jpg,394,公园,仰光 缅甸,4.5,"['這次只走了湖心島與四分之一的湖畔與城牆中間的⋯算公園嗎？\n很多樹還沒種，草皮還沒鋪好，有些甚至還沒鋪好路，風吹來會刮砂塵的地步，但走過完成的路段還是令人期待未來會變成什麼模樣\n最後，城牆與人行道僅留這麼窄的緩衝真的夠嗎？還是那其實是車道？因為綠地中的人行區域還沒完成，才會所有人都走在車道上？（笑', '假日很多当地民众前来散步踏青，一边是玄武湖，另一边是明城墙。地方大，即使人多也不会觉得拥挤。很适合家庭前来游玩。']"
7,中华恐龙园,https://www.tripadvisor.cn/Attraction_Review-g656832-d1799150-Reviews-China_Dinosaur_Park-Changzhou_Jiangsu.html,https://dimg04.c-ctrip.com/images/02Y49120009f157ocB9CF_R_1080_808_Q90.jpg,766,公园,213022 江苏省 常州市 新北区长江东路1号,4.5,"['周末去的，人气挺旺，但整体体验不太好。\n首先，园区的硬件其实挺不错，恐龙都挺逼真的，尤其在峡谷内，随便拍拍都能出片。\n由于带着两娃，很多刺激的项目都没有玩，先玩了恐龙基因研究所，坐着车兜了一圈，这个还挺不错的，这大概是当天唯一一个值得排队玩的项目了，等了大概约45分钟。\n接下来，基本就是满满的槽点了，带着娃后来去了地图左上角的游玩区，适合低龄宝宝基本都是类似大部分公园都有的游玩设施，旋转木马，旋转消防车喷水，和网兜撩球。基本每个都需要排个长队，有些长队并不是因为人多，而是每次都需要等待很久。比如那个撩球，每次游玩大概2-3分钟，但是当游客坐上去，安检等待时间大概有15分钟，这个项目基本大多数公园里都有，从来没见过需要检查那么久的。\n另外再吐槽一下，官方的电子地图定位，完全不能相信，只能看看大概方位，移动方向不是很灵敏，这次入园也没看到有任何纸质地图可以拿，每次使用电子地图都完美的错过了要去看的演出，等实际找到了地方后，都已经显示本场人满了[白眼]\n最后聊一下饮食，大部分的东西价格还算合理，炸鸡20元一份，但是口味嘛，只能说填饱肚子吧。餐厅的效率也非常低，在人不算多，还有较多空位的情况下，出几份套餐大概等待了45分钟才全部拿到，基本有些菜也是冷的了。', '到常州必玩之地，小朋友生日带着去的，除了有身高限制的项目其他玩了个遍，宝贝超级喜欢，下次还会再来的，再见再见再见', '万圣季有夜公园，有四个鬼屋可以玩，万圣气氛很浓厚。当然游客人数也很多，一晚上一般只能玩到两个项目，还是很不错的。']"
8,广州大剧院,https://www.tripadvisor.cn/Attraction_Review-g298555-d1870687-Reviews-Guangzhou_Opera_House-Guangzhou_Guangdong.html,https://dimg04.c-ctrip.com/images/02Y6v120009f4ff45C6AB_R_1080_808_Q90.jpg,287,建筑,广东省 广州市 天河区珠江新城珠江西路1号,4.5,"['几次都是去大的那个音乐厅。歌剧、交响乐、金钟奖决赛都难不住音响建筑，效果一流。上楼梯之后的大堂比较上档次，地面进去那个前厅有点阴森感觉。', '今晚来这里听了一个文化讲座，这是第二次来。上一次是来听马克西姆的演奏会。广州大剧院的造型挺别致的，好像是设计悉尼歌剧院的设计师设计的。内部的设计也富有特色及实用性。这是我非常喜欢的一个地方～^_^', '可以说是广州最好的剧院，外观设计特别，夜晚与其在水中倒影相映成趣，吸引不少游客在此拍照，我也不例外。\n剧院座位舒适，音响效果非常棒。推荐购买池座前排座位，5排左右最佳，若果喜欢视野更宽广的位置，则推荐10排左右。池座B区则不若二楼前排座位性价比高，此前曾在此观看过一次话剧，前方控制台的灯光对观看效果有所影响。']"
9,成都人民公园,https://www.tripadvisor.cn/Attraction_Review-g297463-d546614-Reviews-Chengdu_Renmin_Park-Chengdu_Sichuan.html,https://dimg04.c-ctrip.com/images/02Y1f120008isfowd0210_R_1080_808_Q90.jpg,601,公园,610015 四川省 成都 青羊区少城路12号,4.0,"['這個公園內有茶館，遊覽船和鐵路革命博物館，也有個革命紀念碑，這裡可以讓一般大眾可以消遣一下，同時有露天市場賣茶葉和一般生活用品，價錢平民化，好多平民在這裡遊覽，不過茶館好多人，不容易有位置可以飲茶，要等位。', '作为成都天府广场旁边的公园，绿化还是做得很好。虽然要入冬了但是公园里面人还是很多，是个休闲的好去处，', '人民公园是很老很老的一个公园，每年有菊花展，还算热闹，本地人不会去的地方，里面最多的是公园派的广场舞大妈大爷，还有就是为了儿女找对象忙忙碌碌的父母们，偶尔几位“书法大家”在地上泼水挥洒一番，老茶馆里听着鸟叫，嗑着瓜子催着龙门阵 ，这就是地地道道的成都人民公园，标志性建筑物：铁路保卫纪念碑。']"
10,拙政园,https://www.tripadvisor.cn/Attraction_Review-g297442-d505717-Reviews-Humble_Administrator_s_Garden-Suzhou_Jiangsu.html,https://dimg04.c-ctrip.com/images/02Y3o120009f16l8e5056_R_1080_808_Q90.jpg,2334,"公园,花园",215001 江苏省 苏州市 平江区东北街178号,4.5,"['这是迄今为止我在苏州参观过的最繁忙的花园——它吸引了游客，因为它很大，而且很可爱，但由于人群太多，它对我来说失去了一颗星星。我花了很多时间排队，一点也不好玩。我是工作日早上 10 点左右到达的，所以还不算太晚。请记住，它会很忙。\n\n外国人需经过服务中心入口处才能取票。', '由于人太多，欣赏这个花园很困难。入场费80元。相当漂亮，布置得很好，而且宽敞。我们继续在附近的运河上乘船游览一小时。', '我喜欢这个休闲花园的名字，很有禅意！实际上由几个地理上指定的花园组成。非常受欢迎的场地，非常漂亮的环境……设计有点像一个由众多连锁泳池和凉亭组成的错综复杂的迷宫。在花园里放松身心时非常值得一看。']"
